38,A service was installed in the system.
38,A scheduled task was disabled.
37,R081_02_KSC. Повторное заражение ВПО
37,Полная антивирусная проверка серверов KSWS
36,Windows Firewall has changed the active profile.
35,Certificate Services set the status of a certificate request to pending.
33,A scheduled task was created.
32,A scheduled task was deleted.
32,R293_01_Аномальное дерево процессов для Windows
29,A user account was enabled.
28,A member was added to a security-enabled local group.
26,R297_Подозрительный дочерний процесс от wmiprvse.exe
25,Поиск вредоносного ПО Середина С.В
25,Certificate Services loaded a template.
24,The following provider was present when the Windows Filtering Platform Base Filtering Engine started.
24,R058_01_Локальная учетная запись в ОС Windows была создана подозрительным пользователем
23,Резервное копирование данных Сервера администрирования
22,The following sub-layer was present when the Windows Filtering Platform Base Filtering Engine started.
22,A user account was created.
21,A Windows Filtering Platform provider context has been changed.
21,A scheduled task was enabled.
20,R406_Получение учетных данных через GUI-запросы
20,A member was removed from a security-enabled local group.
20,Установка требуемых обновлений и закрытие уязвимостей - PC060710
20,The name of an account was changed
20,R406_01_Получение учетных данных через GUI-запросы (Windows)
17,A user account was deleted.
12,R110_01_Использование подозрительных опций в командах PowerShell
12,R110_Использование подозрительных опций в командах PowerShell
12,Logon
11,A change has been made to Windows Firewall exception list. A rule was modified.
10,System Integrity
10,The Per-user audit policy table was created.
10,Domain Policy was changed.
10,A network share object was modified.
8,R060_Большое количество манипуляций с группами за короткий промежуток времени
8,Анализ поведения
8,System security access was granted to an account.
7,Auditing settings on object were changed.
7,The Windows Firewall Driver has started successfully.
7,A user account was disabled.
7,The Windows Firewall Service has started successfully.
7,R079_Несколько хостов заражены одним типом вируса
6,Windows PowerShell ISE has started to run script file
6,Обслуживание Сервера администрирования
6,Windows is starting up.
6,R296_13_Регистрация DLL с помощью regsvr32.exe из файла с иным расширением
5,R058_Локальная учетная запись была создана подозрительным пользователем
5,Security State Change
4,R080_02_KSC. Всплеск заражений ВПО
4,System security access was removed from an account.
4,Антивирусная проверка
4,R079_03_KSC. Несколько хостов заражены одним типом вируса (по хешу)
4,An object was deleted.
4,R080_Всплеск заражений ВПО
4,A user account was unlocked.
3,Исправность поставщика
3,R288_02_Исполнение файла с неисполняемым расширением
3,R079_02_KSC. Несколько хостов заражены одним типом вируса
3,Выполнение конвейера
3,A computer account was created.
3,R229_Сбор информации о службах
3,Поиск вредоносного ПО Мамедова Е.М.
3,A user account was locked out.
3,Event processing
3,R229_02_Обнаружение сбора информации о системных сервисах с помощью PowerShell
2,A security-enabled global group was created.
2,R053_Создание группы на Windows системе подозрительным пользователем
2,User Account Management
2,R059_01_Большое количество манипуляций с учетными записями за короткий промежуток времени в ОС Windows
2,A security-enabled local group was created.
2,The Windows Firewall Service blocked an application from accepting incoming connections on the network.
1,R107_Использование сжатия данных
1,R293_Аномальное дерево процессов для Windows
1,R063_Добавление учетной записи в группу доменных или локальных администраторов
1,Windows Firewall Group Policy settings has changed. The new settings have been applied.
1,Logoff
1,R061_09_Включение системных учетных записей
1,R059_Большое количество манипуляций с учетными записями за короткий промежуток времени
1,R107_01_Использование сжатия данных в PowerShell
1,R063_04_Включение пользователя в критичную группу
1,R294_05_Обфускация кода PowerShell с помощью функции substring
1,A security-enabled local group was deleted.
1,R294_Обфускация команд PowerShell

Последние инциденты
2025-04-01T00:00:00+03:00 - 2025-04-24T15:53:12+03:00
[ТД] Респиратор

severity,tenantName,tenantID,createdAt,name,priority,status,id
Low,[ТД] Респиратор,12ae9f33-3b33-40ef-946e-6d2946468cf4,2025-04-08T15:15:14+03:00,R207_Сканирование на уязвимости,1,1,INC-392

Общее количество алертов и их статусы
2025-04-01T00:00:00+03:00 - 2025-04-24T15:53:12+03:00
[ТД] Респиратор

metric,value
22,Closed
4,New
1,In incident

Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T15:53:12+03:00
[ТД] Респиратор

metric,value
5,R401_Попытка обращения на запрещенный ресурс не из браузера
5,R077_Обнаружено вредоносное ПО
3,R071_Получен доступ к ADMIN$
2,R110_Использование подозрительных опций в командах PowerShell
2,R297_Подозрительный дочерний процесс от wmiprvse.exe
1,R294_Обфускация команд PowerShell
1,R207_Сканирование на уязвимости
1,R293_Аномальное дерево процессов для Windows
1,R107_Использование сжатия данных
1,R060_Большое количество манипуляций с группами за короткий промежуток времени
1,R080_Всплеск заражений ВПО
1,R063_Добавление учетной записи в группу доменных или локальных администраторов
1,R106_Подозрительные PowerShell команды. Подозрение на кодирование команд
1,R222_Сбор информации о сетевых папках
1,R229_Сбор информации о службах

Затронутые активы
2025-04-01T00:00:00+03:00 - 2025-04-24T15:53:12+03:00
[ТД] Респиратор

tenantName,id,displayName,criticality,frequency,tenantID
[ТД] Респиратор,4c23abea-9bec-4b50-b76f-8dbd3d07d1b9,PC061089,1,2,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,9263b887-46f9-40b2-a4f5-e0b6ffd688a7,PC061427,1,2,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,40d8edbc-522a-4deb-823c-6fa08061a2f5,SRH-024-BCKP,1,2,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,00d94bad-b8b1-42dd-afc5-7edfe6216d96,71-KO-IKONS06,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,30ffeb25-892b-4b46-86cc-34da5cec7fe2,PC060451,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,ce4ae0ec-8569-4048-a9d1-3b0f4965b5e6,PC060574,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,58267c46-937c-43d4-8614-65c0732a932d,PC060653,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,025fbb7a-c346-4eb4-9396-a2c103fe79b4,PC060710,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,53b2ed50-c590-4f8d-96bd-739066d1a44f,PC060731,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,56a236f6-8f80-4651-9008-a0fbb8355e27,PC060734,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,3df19aaf-de08-49a3-b119-7406b021ee76,PC060756,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,1edee3a6-914f-4544-8fc9-7dff9cabd832,PC060760,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,5f66d815-02b9-4cee-9dde-247cb2d8d323,PC060793,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,ae7979e2-1bed-48db-a2ac-87d0817a42ae,PC060807,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,5319e295-7425-4834-ab31-28f9534f8096,PC060857,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,57a95a66-51f2-415b-bc03-a2755cc89d8c,PC060891,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,10957e3e-fee5-4406-83d0-8abd30f7dded,PC060904,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,a5490a62-93ef-4f35-9dee-80f3c90ed343,PC060909,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,d307e121-d3fd-4c67-8dee-362d0f59bd6c,PC060917,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,28d7a055-3a7c-4b0e-a6d9-9eca8024a714,PC060945,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,83d102f8-35a7-4278-9723-245e07e73eac,PC060965,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,a12f6176-cbd4-4d4e-8be5-4791fdf330f9,PC061000,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,0f2e9394-7bb3-4885-afa6-82fa8b6786a6,PC061013,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,65e871d4-b54c-4746-a4bc-61de391885b0,PC061033,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,169762ca-2f14-4052-852c-9231ada0c461,PC061051,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,1795ee4e-e28c-4021-9f8d-7859d500e9d1,PC061059,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,5586e991-8804-406b-ba38-267e1f92972e,PC061092,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,b2d48145-376a-45b7-9790-12fa4ffaad10,PC061098,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,eb40db1f-5f50-4fce-a409-55f98864c9c5,PC061102,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,869f4cbf-de00-4c5f-a94c-360a05efc0c6,PC061103,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,e286d856-beba-45fc-812c-b9ce34fb3f67,PC061198,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,14c50bbb-b3fe-4ac7-ac20-f1034d5b8801,PC061200,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,60fe6a5a-fed5-4a6a-83bc-eafd27c963b5,PC061310,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,5a0bcd08-4910-455c-81fc-af00d6a298a4,PC061345,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,78a46f6f-804a-4414-a9fa-304f5135bbd4,PC061443,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,d2bc5429-5d4e-42ff-9cd0-f4e5f2e35c26,PC061451,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,466a004b-eb6d-40c1-ab8b-9b3e4b882c94,PC061530,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,9eba4f77-25c7-4b13-b491-e8ecf9a83ef4,PC061554,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,1769a5f7-1714-48cf-a5a9-e5fff6c9bcb8,PC061571,1,1,12ae9f33-3b33-40ef-946e-6d2946468cf4

Последние 10 алертов
2025-04-01T00:00:00+03:00 - 2025-04-24T15:53:12+03:00
[ТД] Респиратор

tenantName,tenantID,firstSeen,status,priority,userName,severity,name,correlationRuleName,id
[ТД] Респиратор,12ae9f33-3b33-40ef-946e-6d2946468cf4,2025-04-23T12:13:40+03:00,New,2,,Medium,R080_Всплеск заражений ВПО,R080_Всплеск заражений ВПО,936a63a8-4371-4d28-b67a-8f3d411f739b
[ТД] Респиратор,12ae9f33-3b33-40ef-946e-6d2946468cf4,2025-04-22T14:42:11+03:00,New,3,,High,R071_Получен доступ к ADMIN$,R071_Получен доступ к ADMIN$,a10556b2-5167-45e6-9a3e-11d73745b3c6
[ТД] Респиратор,12ae9f33-3b33-40ef-946e-6d2946468cf4,2025-04-08T14:05:13+03:00,In incident,1,Александра Зейферт,Low,R207_Сканирование на уязвимости,R207_Сканирование на уязвимости,9aa57482-0b10-4e54-9e88-b3b6fd54eeca
[ТД] Респиратор,12ae9f33-3b33-40ef-946e-6d2946468cf4,2025-04-02T11:41:09+03:00,New,1,,Low,R222_Сбор информации о сетевых папках,R222_Сбор информации о сетевых папках,e634e662-0cac-4347-b4c6-b08870dccdd0
[ТД] Респиратор,12ae9f33-3b33-40ef-946e-6d2946468cf4,2025-04-01T14:14:03+03:00,New,3,,High,R294_Обфускация команд PowerShell,R294_Обфускация команд PowerShell,53d3a904-f367-4c93-a774-78873d535a5e

