Общее количество алертов и их статусы
2025-04-01T00:00:00+03:00 - 2025-04-24T16:01:04+03:00
[ТМ] КМЗ

value,metric
84,FileDelete (File Delete archived)
84,fchown
83,Отсутствует
78,R051_Учетная запись была добавлена в группу подозрительным пользователем
71,A member was added to a security-enabled local group.
68,Служба лицензирования удаленных рабочих столов запущена.
68,A user account was enabled.
67,rename
66,mkdir
64,A security-enabled local group was created.
63,A security-enabled global group was changed.
62,getxattr
60,Code integrity determined that the image hash of a file is not valid
60,cmd execute
58,Служба событий
56,sudo used
55,Startup of the UMDF reflector
51,A member was added to a security-enabled global group.
51,RawAccessRead
51,sudo logout
49,MALWAREPROTECTION_CONFIG_CHANGED
46,A security-enabled universal group was changed.
44,Антивирусная проверка
43,WmiEvent (WmiEventConsumerToFilter activity detected)
43,Защита от почтовых угроз
42,ShadowCopy
42,R152_Запущенный процесс имеет подозрительный родительский процесс
42,R152_08_Запуск командной оболочки Linux от подозрительного процесса
41,FileBlockShredding
39,Настройка драйвера после установки
39,A security-enabled universal group was created.
38,Кэширование страниц базы данных
35,R061_Действия над учетной записью
35,A member was added to a security-enabled universal group.
34,Error Message
33,A user account was deleted.
32,Диагностика успешно завершена
31,lgetxattr
30,mknod
28,System audit policy was changed.
27,fchmodat
26,Неполадки с драйверами пользовательского режима.
25,Сведения о классе модуля поддержки
24,A notification package has been loaded by the Security Account Manager.
20,A user account was unlocked.
20,NTLM Authentication
20,Engine
19,A security-enabled universal group was deleted.
19,R035_Возможный подбор пароля методом перебора учетных записей
19,R035_02_Попытки входа на один хост под разными учетными записями
19,A member was removed from a security-enabled local group.
17,Оперативная дефрагментация
17,Security policy in the group policy objects has been applied successfully.
16,R059_01_Большое количество манипуляций с учетными записями за короткий промежуток времени в ОС Windows
16,PnP
16,fchmod
16,Инициализация/Завершение
16,R293_01_Аномальное дерево процессов для Windows
15,symlink
15,Быстродействие
15,ProcessAccess
14,ssh login fail
14,R080_02_KSC. Всплеск заражений ВПО
14,A user account was disabled.
14,R080_Всплеск заражений ВПО
13,Нет
13,R052_Учетная запись была удалена из группы подозрительным пользователем
12,Protection of auditable protected data was attempted.
12,The name of an account was changed
12,SVC
12,R063_04_Включение пользователя в критичную группу

Последние инциденты
2025-04-01T00:00:00+03:00 - 2025-04-24T16:01:04+03:00
[ТМ] КМЗ

No Data

Последние 10 алертов
2025-04-01T00:00:00+03:00 - 2025-04-24T16:01:04+03:00
[ТМ] КМЗ

userName,tenantID,firstSeen,correlationRuleName,status,id,name,severity,priority,tenantName
,2e1e2ace-2778-4dc5-9755-b79d2ac32087,2025-04-24T03:39:21+03:00,R152_Запущенный процесс имеет подозрительный родительский процесс,New,54be1f3b-966f-4614-89ae-aef8450928f2,R152_Запущенный процесс имеет подозрительный родительский процесс,Low,1,[ТМ] КМЗ
,2e1e2ace-2778-4dc5-9755-b79d2ac32087,2025-04-22T12:18:41+03:00,R051_Учетная запись была добавлена в группу подозрительным пользователем,New,6d567349-d81d-4c53-8e78-f9ac1f983a6e,R051_Учетная запись была добавлена в группу подозрительным пользователем,Low,1,[ТМ] КМЗ
,2e1e2ace-2778-4dc5-9755-b79d2ac32087,2025-04-22T12:18:41+03:00,R055_Изменение группы в ОС Windows подозрительным пользователем,New,fc72d4c7-c5ea-4b46-b48f-c17c39e801f9,R055_Изменение группы в ОС Windows подозрительным пользователем,Low,1,[ТМ] КМЗ
,2e1e2ace-2778-4dc5-9755-b79d2ac32087,2025-04-21T15:53:08+03:00,R077_Обнаружено вредоносное ПО,New,da928312-acbf-4195-804c-e37be2524100,R077_Обнаружено вредоносное ПО,Medium,2,[ТМ] КМЗ
,2e1e2ace-2778-4dc5-9755-b79d2ac32087,2025-04-01T21:46:03+03:00,R423_Подозрительный процесс компиляции файла,New,abfbc58e-a7a8-4829-bd54-60572808d8ff,R423_Подозрительный процесс компиляции файла,Medium,2,[ТМ] КМЗ

Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T16:01:04+03:00
[ТМ] КМЗ

metric,value
4,R051_Учетная запись была добавлена в группу подозрительным пользователем
4,R055_Изменение группы в ОС Windows подозрительным пользователем
3,R077_Обнаружено вредоносное ПО
2,R035_Возможный подбор пароля методом перебора учетных записей
2,R080_Всплеск заражений ВПО
2,R061_Действия над учетной записью
2,R223_Сбор информации о процессах
1,R052_Учетная запись была удалена из группы подозрительным пользователем
1,R296_Подозрительные аргументы при запуске системной утилиты
1,R059_Большое количество манипуляций с учетными записями за короткий промежуток времени
1,R054_Удаление группы в ОС Windows подозрительным пользователем
1,R224_Сбор информации о системе
1,R060_Большое количество манипуляций с группами за короткий промежуток времени
1,R063_Добавление учетной записи в группу доменных или локальных администраторов
1,R078_Обнаружено большое количество вредоносных объектов на одном хосте
1,R152_Запущенный процесс имеет подозрительный родительский процесс
1,"R288_Манипуляции с файлами, имеющими нестандартные расширения"
1,R423_Подозрительный процесс компиляции файла

