Активы в инцидентах
2025-04-01T00:00:00+03:00 - 2025-04-24T16:01:42+03:00
[ТМ] НИТИ Снегирева

No Data

"Общее число событий, обработанных в текущем периоде"
4,A member was removed from a security-enabled global group.
3,R080_02_KSC. Всплеск заражений ВПО
3,System_Integrity_Monitoring
3,R080_Всплеск заражений ВПО
3,Включить надстройку
3,R063_Добавление учетной записи в группу доменных или локальных администраторов
2,Параметры восстановления после сбоя
2,fchmod
2,Кластер
2,User-mode Driver problems.
2,"Определение таблицы, столбца, индекса"

Последние 10 алертов
2025-04-01T00:00:00+03:00 - 2025-04-24T16:01:42+03:00
[ТМ] НИТИ Снегирева

status,firstSeen,id,name,correlationRuleName,priority,severity,tenantName,tenantID,userName
New,2025-04-23T16:18:37+03:00,c237e2fd-63ec-4199-bb2b-ecc8d30a5f19,R077_Обнаружено вредоносное ПО,R077_Обнаружено вредоносное ПО,2,Medium,[ТМ] НИТИ Снегирева,8adae92d-f4af-4c50-b763-62050bc38b26,

Последние инциденты
2025-04-01T00:00:00+03:00 - 2025-04-24T16:01:42+03:00
[ТМ] НИТИ Снегирева

No Data

Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T16:01:42+03:00
[ТМ] НИТИ Снегирева

value,metric
R152_Запущенный процесс имеет подозрительный родительский процесс,6
R077_Обнаружено вредоносное ПО,5
R051_Учетная запись была добавлена в группу подозрительным пользователем,4
R052_Учетная запись была удалена из группы подозрительным пользователем,4
R063_Добавление учетной записи в группу доменных или локальных администраторов,3
R058_Локальная учетная запись была создана подозрительным пользователем,2
R080_Всплеск заражений ВПО,2
R407_Обнаружение следов возможного перехвата вводимых данных,1

Затронутые активы
2025-04-01T00:00:00+03:00 - 2025-04-24T16:01:42+03:00
[ТМ] НИТИ Снегирева

No Data

Общее количество алертов и их статусы
2025-04-01T00:00:00+03:00 - 2025-04-24T16:01:42+03:00
[ТМ] НИТИ Снегирева

metric,value
26,Closed
1,New

