Последние 10 алертов
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:41+03:00
[ТМ] Сигнал

name,firstSeen,status,userName,priority,severity,tenantID,id,tenantName,correlationRuleName
R224_Сбор информации о системе,2025-04-23T14:02:59+03:00,New,,1,Low,3dcb34cc-1ff5-4491-806d-f65173b896b2,dc405c4d-d3ed-43ae-acd6-ea9a2051abfd,[ТМ] Сигнал,R224_Сбор информации о системе
R061_Действия над учетной записью,2025-04-22T11:53:32+03:00,New,,1,Low,3dcb34cc-1ff5-4491-806d-f65173b896b2,bfed904e-69f0-4a5c-b279-9fa579e737a5,[ТМ] Сигнал,R061_Действия над учетной записью
R071_Получен доступ к ADMIN$,2025-04-18T12:15:47+03:00,New,,3,High,3dcb34cc-1ff5-4491-806d-f65173b896b2,dc4ac894-e45c-4fe8-a848-1c92703aeb1f,[ТМ] Сигнал,R071_Получен доступ к ADMIN$
R003_Удаленный вход под учетной записью локального администратора,2025-04-02T08:28:52+03:00,New,,1,Low,3dcb34cc-1ff5-4491-806d-f65173b896b2,01f564b6-64c1-4da7-8366-7ab5a7603ba0,[ТМ] Сигнал,R003_Удаленный вход под учетной записью локального администратора
R224_Сбор информации о системе,2025-04-01T18:32:32+03:00,In incident,Александра Зейферт,1,Low,3dcb34cc-1ff5-4491-806d-f65173b896b2,e4da7686-b3fa-404c-8c6a-4c0b15e1c1fa,[ТМ] Сигнал,R224_Сбор информации о системе

"Общее число событий, обработанных в текущем периоде"
31223,R224_02_Сбор информации об удаленной системе стандартными средствами Windows
30050,Жизненный цикл обработчика
29065,An attempt was made to create a hard link.
27060,Windows Firewall did not apply the following rule
18595,Resource attributes of the object were changed.
17355,An operation was performed on an object.
16546,R031_01_Вход с разных хостов на один Windows хост под одной учетной записью
13753,The state of a transaction has changed.
12670,Обновление
12658,R224_Сбор информации о системе
12548,A network share object was accessed
12447,A privileged service was called.
8935,Антивирусная проверка каждые 3 дня
8666,A Windows Filtering Platform filter has been changed.
7477,A rule was listed when the Windows Firewall started.
7247,Credential Manager credentials were read.
6644,Обработка события
6608,Защита от файловых угроз
6358,Антивирусная проверка
5834,Synchronization of a replica of an Active Directory naming context has begun.
5155,The system time was changed.
3642,Контроль устройств
3518,Антивирусная проверка на рабочих станциях и серверах
3401,Общие
3365,Запуск консоли PowerShell
3053,An attempt was made to query the existence of a blank password for an account.
2886,Ведение журнала и восстановление
2726,A new external device was recognized by the system.
2575,Поиск вредоносного ПО
2346,A user's local group membership was enumerated.
2194,Событие состояния службы
1832,Именованный канал IPC PowerShell
1575,Windows Firewall has changed the active profile.
1551,A change has been made to Windows Firewall exception list. A rule was added.
1532,A Windows Filtering Platform callout has been changed.
1469,Защита от веб-угроз
1457,Сервер
1307,Vault credentials were read.
1088,A trusted logon process has been registered with the Local Security Authority.This logon process will be trusted to submit logon requests.
984,A handle to an object was requested with intent to delete.
926,Адаптивный контроль аномалий
924,Анализ поведения
924,Защита от эксплойтов
921,Защита от почтовых угроз
919,Предотвращение вторжений
916,Веб-Контроль
916,Сетевой экран
915,Защита от сетевых угроз
896,A service was installed in the system.
882,The following filter was present when the Windows Filtering Platform Base Filtering Engine started.
878,Driver loaded
786,A change has been made to Windows Firewall exception list. A rule was deleted.
702,A computer account was changed.
590,Контроль программ
567,The file could be improperly signed without page hashes or corrupt due to unauthorized modification.
501,Защита
478,User initiated logoff
478,The following callout was present when the Windows Filtering Platform Base Filtering Engine started.
467,The Windows Filtering Platform has blocked a connection.
463,Служба поиска
462,Драйвер
441,Контроль приложений
436,Резервное копирование
339,ServiceConfigurationChange
335,AMSI-защита
321,LMS
314,A session was disconnected from a Window Station.
308,Boot Configuration Data loaded.
304,A primary token was assigned to process.
272,The Windows Firewall Driver has started successfully.
269,The Windows Firewall Service has started successfully.
268,Windows is starting up.
268,The Per-user audit policy table was created.
261,Installation or update of device drivers.
254,Загрузка обновлений в хранилище Сервера администрирования
248,%1
236,A security package has been loaded by the Local Security Authority.
223,Other System Events
217,A directory service object was modified.
208,Ведение журнала/Восстановление
208,An attempt was made to register a security event source.
207,An attempt was made to unregister a security event source.
207,Завершение работы службы
204,A session was reconnected to a Window Station.
178,A network share object was added.
176,Update
166,Настройка драйвера после установки
157,Антивирусная проверка на рабочих станциях КИС
152,Security policy in the group policy objects has been applied successfully.
146,A scheduled task was disabled.
145,A Windows Filtering Platform sub-layer has been changed.
144,install agent
129,R051_Учетная запись была добавлена в группу подозрительным пользователем
122,Антивирусная проверка съёмных носитилей
113,A Windows Filtering Platform provider has been changed.
112,R055_Изменение группы в ОС Windows подозрительным пользователем
112,Установка драйвера
111,Process creation
111,The workstation was locked.
109,A user account was changed.
104,R293_01_Аномальное дерево процессов для Windows
104,A registry value was modified.
103,The workstation was unlocked.
100,A member was added to a security-enabled global group.
83,A security-enabled global group was changed.
75,Установка или обновление драйверов устройств.
70,R281_01_Установка сервиса не из системной директории
70,The following provider was present when the Windows Filtering Platform Base Filtering Engine started.
68,A Windows Filtering Platform provider context has been changed.
66,A rule has been ignored by Windows Firewall because it could not parse the rule.
66,A user account was unlocked.
65,Агент центра обновления Windows
63,Добавление ключа
61,Sysmon service state changed
58,An attempt was made to reset an account's password.
57,Unprotection of auditable protected data was attempted.
57,Антивирусная проверка внеплановая полная
56,R003_Удаленный вход под учетной записью локального администратора
56,R281_02_Установка нового сервиса из общедоступной директории
56,R003_02_Удаленный вход под учетной записью администратора в Windows
55,События диагностики исчерпания ресурсов
55,A scheduled task was enabled.
52,Windows Firewall Group Policy settings has changed. The new settings have been applied.
49,The following sub-layer was present when the Windows Filtering Platform Base Filtering Engine started.
47,A notification package has been loaded by the Security Account Manager.
46,A security-enabled local group was changed.
46,Инвентаризация
46,Удаление данных - Спутник
45,A user account was enabled.
44,Рассылка отчетов - Ежедневная
43,R058_Локальная учетная запись была создана подозрительным пользователем
43,A user account was created.
43,R058_01_Локальная учетная запись в ОС Windows была создана подозрительным пользователем
42,R081_02_KSC. Повторное заражение ВПО
41,Средство сбора данных
39,A member was added to a security-enabled local group.
36,A network share object was modified.
35,FileCreateStreamHash
29,Миграция драйвера
29,FileBlockExecutable
29,ClipboardChange (New content in the clipboard)
29,WmiEvent (WmiEventConsumer activity detected)
29,ProcessTampering (Process image change)
28,Code integrity determined that the image hash of a file is not valid
28,Другие системные события
23,An authentication package has been loaded by the Local Security Authority.
23,The following policy was active when the Windows Firewall started.
21,A member was added to a security-enabled universal group.
21,A security-enabled universal group was changed.
21,R061_Действия над учетной записью
21,R061_04_Для учетной записи установлен бессрочный пароль
20,A cryptographic self test was performed.
19,R063_04_Включение пользователя в критичную группу
18,R077_Обнаружено вредоносное ПО
18,R077_02_KSC. Обнаружено вредоносное ПО
18,R063_Добавление учетной записи в группу доменных или локальных администраторов
18,A computer account was created.
18,A user account was locked out.
17,A security-enabled local group was created.
13,Startup of the UMDF reflector
12,A scheduled task was created.
11,A scheduled task was deleted.
10,Добавление ключа_доп
10,Автоматическое обновление
9,A member was removed from a security-enabled global group.
9,RegistryEvent (Key and Value Rename)
9,PipeEvent (Pipe Connected)
9,R052_Учетная запись была удалена из группы подозрительным пользователем
9,A process changed a file creation time
8,Оперативная дефрагментация
7,The name of an account was changed
6,A user account was disabled.
6,Обслуживание Сервера администрирования
5,R089_02_Подозрительное массовое переименование или удаление файлов (Windows)
5,R060_Большое количество манипуляций с группами за короткий промежуток времени
4,Быстродействие
4,R059_01_Большое количество манипуляций с учетными записями за короткий промежуток времени в ОС Windows
4,The ACL was set on accounts which are members of administrators groups.
4,R059_Большое количество манипуляций с учетными записями за короткий промежуток времени
4,Очистка журнала
4,Запуск службы
4,Служба лицензирования удаленных рабочих столов запущена.
3,R288_02_Исполнение файла с неисполняемым расширением
3,TM
3,Backup of data protection master key was attempted.
3,uninstall agent
3,R080_Всплеск заражений ВПО
3,R291_03_Вызов внешних ресурсов для системных приложений Windows (runll32)
3,R080_02_KSC. Всплеск заражений ВПО
3,Удаленное удаление агента Device Monitor 7.14
3,Системное событие
2,Инициализация/Завершение
2,Удаленная деинсталляция программы33
2,A member was removed from a security-enabled local group.
2,Internal resources allocated for the queuing of audit messages have been exhausted
2,A security-enabled local group was deleted.
2,R054_Удаление группы в ОС Windows подозрительным пользователем
1,Удаление данных - Skype
1,A security-enabled global group was created.
1,R078_Обнаружено большое количество вредоносных объектов на одном хосте
1,R079_02_KSC. Несколько хостов заражены одним типом вируса
1,R078_02_KSC. Обнаружено большое количество вредоносных объектов на одном хосте
1,"Журнал ""TaskScheduler/Operational"" был отключен"
1,R050_03_Очистка журнала событий Windows
1,R296_11_Установка пакетов через msiexec в тихом режиме

Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:41+03:00
[ТМ] Сигнал

metric,value
5,R051_Учетная запись была добавлена в группу подозрительным пользователем
5,R058_Локальная учетная запись была создана подозрительным пользователем
5,R224_Сбор информации о системе
5,R055_Изменение группы в ОС Windows подозрительным пользователем
3,R060_Большое количество манипуляций с группами за короткий промежуток времени
3,R080_Всплеск заражений ВПО
2,R061_Действия над учетной записью
1,R052_Учетная запись была удалена из группы подозрительным пользователем
1,R050_Очистка журнала событий Windows
1,R071_Получен доступ к ADMIN$
1,R053_Создание группы на Windows системе подозрительным пользователем
1,R063_Добавление учетной записи в группу доменных или локальных администраторов
1,R099_Манипуляции с задачами по расписанию
1,R054_Удаление группы в ОС Windows подозрительным пользователем
1,R059_Большое количество манипуляций с учетными записями за короткий промежуток времени
1,R003_Удаленный вход под учетной записью локального администратора

Последние инциденты
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:41+03:00
[ТМ] Сигнал

name,priority,status,id,severity,tenantName,tenantID,createdAt
R050_Очистка журнала событий Windows,3,1,INC-387,High,[ТМ] Сигнал,3dcb34cc-1ff5-4491-806d-f65173b896b2,2025-04-07T12:37:27+03:00

Затронутые активы
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:41+03:00
[ТМ] Сигнал

id,displayName,criticality,frequency,tenantID,tenantName
91f79657-791d-4100-9ab7-4c7cfcb05605,SIGNALERP,1,2,3dcb34cc-1ff5-4491-806d-f65173b896b2,[ТМ] Сигнал
2af23124-8770-45f2-ae44-8ceef6100210,IWDM,1,1,3dcb34cc-1ff5-4491-806d-f65173b896b2,[ТМ] Сигнал
17cc109d-37cf-4e09-8db9-cf97af81c236,POYARKOVKA-INT,1,1,3dcb34cc-1ff5-4491-806d-f65173b896b2,[ТМ] Сигнал

Активы в инцидентах
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:41+03:00
[ТМ] Сигнал

No Data

Общее количество алертов и их статусы
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:41+03:00
[ТМ] Сигнал

metric,value
32,Closed
4,New
1,In incident

