Активы в инцидентах
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:17+03:00
[ТД] Полет

No Data

"Общее число событий, обработанных в текущем периоде"
355,A network share object was modified.
327,R219_Использование VPN портов
310,The Windows Firewall Service blocked an application from accepting incoming connections on the network.
294,A session was reconnected to a Window Station.
279,A cryptographic function provider operation was attempted.
227,A new external device was recognized by the system.
196,Веб-Контроль
195,Адаптивный контроль аномалий
186,A cryptographic function operation was attempted.
158,An IPsec main mode negotiation failed
114,Установка sysmon_uninstall
107,R109_Использование известных зловредных фреймворков для эксплуатации уязвимостей
107,R109_01_Использование известных зловредных фреймворков для эксплуатации уязвимостей
85,Data Recovery Agent group policy for Encrypting File System (EFS) has changed. The new changes have been applied.
79,R071_Получен доступ к ADMIN$
61,Автоматическая установка - Kaspersky Endpoint Security для Windows (11.9.0) (Русский) (Strong ~66...
58,R105_Подозрение на обфускацию кода с использованием спецсимволов
58,R105_04_Подозрительные PowerShell команды. Подозрение на обфускацию
46,A user account was changed.
45,A computer account was changed.
38,File_Threat_Protection
38,R081_02_KSC. Повторное заражение ВПО
33,Инвентаризация 04.07.2024
33,An IPsec Quick Mode security association ended.
33,Device_Control
33,An IPsec Quick Mode security association was established.
32,Установка Kaspersky Network Agent for Linux x64 deb (Русский)_15.1.0.20748
31,Behavior_Detection
30,Установка 1C_8_3_24_1819
29,The file could be improperly signed without page hashes or corrupt due to unauthorized modification.
25,IPsec received a packet from a remote computer with an incorrect Security Parameter Index (SPI)
24,Установка Решение проблемы печати Office Standard 2016
23,Network_Threat_Protection
20,Update
20,A handle to an object was requested with intent to delete.
19,A cryptographic self test was performed.
17,R051_Учетная запись была добавлена в группу подозрительным пользователем
16,An IPsec Main Mode security association ended.
16,An IPsec Main Mode security association was established. Extended Mode was not enabled.  Certificate authentication was not used.
14,Code integrity determined that the image hash of a file is not valid
14,An attempt was made to change an account's password.
14,Add Key_Linux
12,A user account was locked out.
12,R229_Сбор информации о службах
12,Установка Kaspersky Endpoint Security 12.2 для Linux (Русский)_12.2.0.2412
12,Web_Threat_Protection
12,R229_02_Обнаружение сбора информации о системных сервисах с помощью PowerShell
11,R262_Подозрительный доступ к процессу LSASS
11,An attempt was made to reset an account's password.
10,R058_01_Локальная учетная запись в ОС Windows была создана подозрительным пользователем
10,R058_Локальная учетная запись была создана подозрительным пользователем
10,A user account was created.
10,A member was added to a security-enabled global group.
10,A directory service object was created.
10,A user account was enabled.
9,A member was added to a security-enabled local group.
8,Critical Areas Scan
8,Malware Scan
8,R224_Сбор информации о системе
8,A directory service object was deleted.
8,System Integrity Check
8,R224_01_Сбор информации об удаленной системе через PowerShell
7,R061_Действия над учетной записью
7,R061_04_Для учетной записи установлен бессрочный пароль
7,R220_Сбор информации об учетных записях
7,Установка Kaspersky Network Agent for Linux x64 deb (Русский)(GUI)
6,R221_03_Обнаружение сбора информации о доменных группах Windows с помощью PowerShell
6,Обслуживание базы данных
6,R221_Сбор информации о группах
6,R220_01_Сбор информации о доменных учетных записях через PowerShell
5,Установка 1C 8_3_22_2143
5,A security-enabled global group was changed.
5,R055_Изменение группы в ОС Windows подозрительным пользователем
3,License
3,A user account was unlocked.
3,System security access was removed from an account.
3,System security access was granted to an account.
3,A user account was deleted.
2,Удаленная деинсталляция программы AnyDesk
2,Shutdown all
2,R077_02_KSC. Обнаружено вредоносное ПО
2,R077_Обнаружено вредоносное ПО
2,Web_Control
2,Anti_Cryptor
2,Антивирусная проверка
2,System_Integrity_Monitoring
1,R059_01_Большое количество манипуляций с учетными записями за короткий промежуток времени в ОС Windows
1,R035_Возможный подбор пароля методом перебора учетных записей
1,A directory service object was moved.
1,R107_Использование сжатия данных
1,A member was removed from a security-enabled local group.
1,A security-enabled local group was deleted.
1,R059_Большое количество манипуляций с учетными записями за короткий промежуток времени
1,A user account was disabled.
1,A computer account was created.
1,R052_Учетная запись была удалена из группы подозрительным пользователем
1,R220_03_Сбор информации о локальных учетных записях через PowerShell
1,IPsec Services failed to get the complete list of network interfaces on the computer.
1,R035_02_Попытки входа на один хост под разными учетными записями
1,R054_Удаление группы в ОС Windows подозрительным пользователем
1,R107_01_Использование сжатия данных в PowerShell

Последние инциденты
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:17+03:00
[ТД] Полет

No Data

Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:17+03:00
[ТД] Полет

metric,value
23,R206_Обнаружен новый DHCP сервер
10,R219_Использование VPN портов
7,R110_Использование подозрительных опций в командах PowerShell
3,R262_Подозрительный доступ к процессу LSASS
2,R061_Действия над учетной записью
1,R059_Большое количество манипуляций с учетными записями за короткий промежуток времени
1,R060_Большое количество манипуляций с группами за короткий промежуток времени
1,R054_Удаление группы в ОС Windows подозрительным пользователем
1,R224_Сбор информации о системе
1,R077_Обнаружено вредоносное ПО
1,R052_Учетная запись была удалена из группы подозрительным пользователем
1,R058_Локальная учетная запись была создана подозрительным пользователем
1,R035_Возможный подбор пароля методом перебора учетных записей
1,R089_Обнаружены возможные следы действий программ-вымогателей

Последние 10 алертов
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:17+03:00
[ТД] Полет

name,tenantID,priority,correlationRuleName,firstSeen,severity,status,userName,tenantName,id
R089_Обнаружены возможные следы действий программ-вымогателей,79b70d38-ca99-4525-95c6-31e888cbf02f,3,R089_Обнаружены возможные следы действий программ-вымогателей,2025-04-24T15:20:25+03:00,High,New,,[ТД] Полет,14c7bad0-a695-4698-be6d-c4bad9b6a762
R219_Использование VPN портов,79b70d38-ca99-4525-95c6-31e888cbf02f,2,R219_Использование VPN портов,2025-04-24T15:16:25+03:00,Medium,New,,[ТД] Полет,1c8e5e32-72eb-4e74-a395-0a5f1d81511b
R219_Использование VPN портов,79b70d38-ca99-4525-95c6-31e888cbf02f,2,R219_Использование VPN портов,2025-04-22T16:20:12+03:00,Medium,In progress,Диана Холод,[ТД] Полет,60748815-ea5c-4db9-a115-8310b515822d
R061_Действия над учетной записью,79b70d38-ca99-4525-95c6-31e888cbf02f,1,R061_Действия над учетной записью,2025-04-03T17:40:18+03:00,Low,New,,[ТД] Полет,1b43fade-a796-48e1-b5e2-cb44cdc08673
R058_Локальная учетная запись была создана подозрительным пользователем,79b70d38-ca99-4525-95c6-31e888cbf02f,1,R058_Локальная учетная запись была создана подозрительным пользователем,2025-04-02T13:01:51+03:00,Low,New,,[ТД] Полет,a2eeb9e4-f47f-4651-8f93-e11087aa0e6c
R224_Сбор информации о системе,79b70d38-ca99-4525-95c6-31e888cbf02f,1,R224_Сбор информации о системе,2025-04-01T17:08:44+03:00,Low,In incident,Александра Зейферт,[ТД] Полет,e63d7e66-027f-4330-99c3-5e05eb8f4c53

Затронутые активы
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:17+03:00
[ТД] Полет

criticality,frequency,tenantID,tenantName,id,displayName
1,3,79b70d38-ca99-4525-95c6-31e888cbf02f,[ТД] Полет,da8cb46d-b579-40b4-9f9c-c4e0aef7e6b2,1CTERM
1,2,79b70d38-ca99-4525-95c6-31e888cbf02f,[ТД] Полет,7491ccff-6599-4686-a182-17790cdbbd56,DBU6
1,2,79b70d38-ca99-4525-95c6-31e888cbf02f,[ТД] Полет,c751e724-2d64-4aa4-8988-41ff74aaee7d,PDM_SRV
1,2,79b70d38-ca99-4525-95c6-31e888cbf02f,[ТД] Полет,893812b5-8299-4d74-ba31-f74d2806bf3c,POLETDC2
1,1,79b70d38-ca99-4525-95c6-31e888cbf02f,[ТД] Полет,214e40db-dc40-4652-a4f0-ef1c05d5d70d,1CBD
1,1,79b70d38-ca99-4525-95c6-31e888cbf02f,[ТД] Полет,dedb8408-fbbf-4cd3-b26d-f8b3b5655ed2,CEX335
1,1,79b70d38-ca99-4525-95c6-31e888cbf02f,[ТД] Полет,b3aaf6ec-3b43-4d2a-b13f-d63c498b9591,DBU2
1,1,79b70d38-ca99-4525-95c6-31e888cbf02f,[ТД] Полет,8fedd758-4e6b-43b6-8e6f-81462288a3f3,DBU5
1,1,79b70d38-ca99-4525-95c6-31e888cbf02f,[ТД] Полет,5a7b6d31-1e20-40a2-9793-2f798c932ae8,IT11

Общее количество алертов и их статусы
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:17+03:00
[ТД] Полет

metric,value
48,Closed
4,New
1,In incident
1,In progress

