"Общее число событий, обработанных в текущем периоде"
R078_Обнаружено большое количество вредоносных объектов на одном хосте,In progress,Руслан Яргаев,2,356c4255-3a58-47ac-b5c3-c5385646d684,Medium,d5a75c5a-b267-4925-b98c-f53ab0add055,[ТМ] Завод Пластмасс,R078_Обнаружено большое количество вредоносных объектов на одном хосте,2025-04-24T09:20:53+03:00
R407_Обнаружение следов возможного перехвата вводимых данных,In progress,Руслан Яргаев,2,356c4255-3a58-47ac-b5c3-c5385646d684,Medium,e7a47db9-0450-407b-9e52-7b1c32ecf176,[ТМ] Завод Пластмасс,R407_Обнаружение следов возможного перехвата вводимых данных,2025-04-24T09:20:53+03:00
R080_Всплеск заражений ВПО,New,,2,356c4255-3a58-47ac-b5c3-c5385646d684,Medium,c7c4bf7d-eab9-4fc6-84a3-2f10f0e15919,[ТМ] Завод Пластмасс,R080_Всплеск заражений ВПО,2025-04-23T19:41:47+03:00
R077_Обнаружено вредоносное ПО,New,,2,356c4255-3a58-47ac-b5c3-c5385646d684,Medium,7b9c5e24-fe69-4d2a-92c8-669728942cc7,[ТМ] Завод Пластмасс,R077_Обнаружено вредоносное ПО,2025-04-23T15:40:15+03:00
R035_Возможный подбор пароля методом перебора учетных записей,New,,1,356c4255-3a58-47ac-b5c3-c5385646d684,Low,3edc2498-4edf-4fc2-a50d-28d55d5ce471,[ТМ] Завод Пластмасс,R035_Возможный подбор пароля методом перебора учетных записей,2025-04-18T13:27:28+03:00

Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:12+03:00
[ТМ] Завод Пластмасс

metric,value
10,R077_Обнаружено вредоносное ПО
7,R401_Попытка обращения на запрещенный ресурс не из браузера
7,R078_Обнаружено большое количество вредоносных объектов на одном хосте
6,R080_Всплеск заражений ВПО
4,R407_Обнаружение следов возможного перехвата вводимых данных
1,R079_Несколько хостов заражены одним типом вируса
1,R060_Большое количество манипуляций с группами за короткий промежуток времени
1,R051_Учетная запись была добавлена в группу подозрительным пользователем
1,R224_Сбор информации о системе
1,R406_Получение учетных данных через GUI-запросы
1,R055_Изменение группы в ОС Windows подозрительным пользователем
1,R053_Создание группы на Windows системе подозрительным пользователем
1,R035_Возможный подбор пароля методом перебора учетных записей
1,R083_Обнаружены следы использования нежелательных утилит

Активы в инцидентах
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:12+03:00
[ТМ] Завод Пластмасс

No Data

Общее количество алертов и их статусы
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:12+03:00
[ТМ] Завод Пластмасс

value,metric
Closed,36
In progress,4
New,3

